"sgRNA"	"Gene"	"exp_mock_1"	"exp_mock_2"	"exp_rcVSV_1"	"exp_rcVSV_2"	"exp_hku5_1"	"exp_hku5_2"	"exp_sars2_1"	"exp_sars2_2"	"exp_mers_1"	"exp_mers_2"	"exp_t1015n_1"	"exp_t1015n_2"	"exp_emcv_1"	"exp_emcv_2"	"exp_iav_1"
"A1CF_10"	"A1CF"	1106	1111	1247	1195	647	852	815	910	3643	1052	1172	1738	20	637	373
"A1CF_11"	"A1CF"	637	806	1072	778	339	419	480	602	826	603	385	669	178	827	511
"A1CF_2"	"A1CF"	391	356	812	687	244	285	462	397	127	230	372	178	420	1296	2369
"A1CF_3"	"A1CF"	1147	1307	1462	1142	648	896	993	1246	3712	1470	1585	6001	639	487	117
"A1CF_5"	"A1CF"	503	553	917	167	294	353	191	130	751	223	112	421	2260	1390	850
"A1CF_8"	"A1CF"	1380	1537	2118	965	801	1187	977	944	1702	1423	978	1727	221	911	776
"AARS1_1"	"AARS1"	2584	2965	3361	1951	1050	1552	2097	2361	3320	1234	2083	1458	18838	7384	2225
"AARS1_2"	"AARS1"	2419	2577	3334	2067	1607	1795	1887	1774	4389	2520	2280	2677	3346	2228	2461
"AARS1_3"	"AARS1"	433	410	733	326	141	379	231	354	390	417	274	553	135	74	3
"AARS1_4"	"AARS1"	158	172	85	80	26	107	59	36	38	11	15	12	0	18	63
"AARS1_5"	"AARS1"	1044	1146	964	620	533	525	443	477	1174	284	420	592	150	830	618
"AARS1_6"	"AARS1"	1501	1783	3078	2654	1581	1479	2217	1961	4622	2260	2381	1953	1001	754	1526
"AASDHPPT_1"	"AASDHPPT"	722	708	1786	1217	815	1107	850	695	1591	452	451	592	3	54	66
"AASDHPPT_10"	"AASDHPPT"	1196	1306	1980	1023	763	797	663	702	3068	901	1021	1194	1022	401	448
"AASDHPPT_2"	"AASDHPPT"	985	1245	456	391	299	365	265	262	1549	703	205	948	1918	3092	2444
"AASDHPPT_6"	"AASDHPPT"	166	109	155	9	75	171	387	273	52	23	13	0	472	24	0
"AASDHPPT_7"	"AASDHPPT"	460	494	739	435	210	231	80	165	131	140	8	103	1	189	179
"AASDHPPT_9"	"AASDHPPT"	326	323	353	109	94	170	283	182	442	117	478	341	6	172	137
"AASS_10"	"AASS"	2225	2276	3132	1927	1732	1662	1752	1422	4918	1927	2221	3710	1977	713	1143
"AASS_11"	"AASS"	753	828	1038	952	822	595	761	629	2955	1163	1144	1702	69	481	369
"AASS_4"	"AASS"	842	727	584	367	498	312	326	240	1633	967	569	1642	1678	737	366
"AASS_5"	"AASS"	196	179	93	113	126	76	78	45	164	24	83	78	17	275	22
"AASS_6"	"AASS"	1806	1860	1671	1400	1074	1009	809	776	6637	3803	5623	7470	1940	2300	1009
"AASS_7"	"AASS"	475	576	1243	743	650	463	766	775	371	294	181	300	97	48	453
"ABAT_11"	"ABAT"	541	572	609	334	409	303	313	368	995	436	577	549	305	818	188
"ABAT_13"	"ABAT"	1153	1286	2015	1891	1211	1257	1616	1281	1822	798	676	1101	2282	1702	2515
"ABAT_4"	"ABAT"	1204	995	1389	867	767	824	740	1243	1441	870	539	927	787	2127	244
"ABAT_6"	"ABAT"	1083	1251	5131	2946	1974	2012	2814	2720	2685	1371	1919	2322	2542	770	346
"ABAT_7"	"ABAT"	1275	1536	831	602	715	451	592	478	1865	785	1011	1142	2897	935	391
"ABAT_8"	"ABAT"	1180	1078	1648	1039	1122	782	1338	1336	1683	774	963	991	464	1023	1586
"ABCE1_1"	"ABCE1"	299	412	258	195	80	102	156	44	821	631	480	229	15	202	34
"ABCE1_2"	"ABCE1"	319	360	252	250	139	115	158	191	410	64	353	85	153	292	103
"ABCE1_3"	"ABCE1"	666	623	764	546	447	439	605	471	85	301	33	80	34	342	585
"ABCE1_5"	"ABCE1"	486	566	613	806	324	551	392	510	842	254	105	366	92	337	204
"ABCE1_7"	"ABCE1"	462	470	235	160	170	161	45	135	1060	700	528	790	206	655	39
"ABCE1_8"	"ABCE1"	883	985	86	172	50	95	57	128	3818	2198	2799	6533	795	872	218
"ABCF1_1"	"ABCF1"	161	170	233	135	79	129	231	178	45	16	0	204	9	352	70
"ABCF1_4"	"ABCF1"	190	105	191	142	78	48	52	104	396	94	89	118	0	339	7
"ABCF1_5"	"ABCF1"	333	362	224	135	190	189	118	267	83	164	34	261	13	327	4
"ABCF1_6"	"ABCF1"	55	19	11	20	4	7	5	22	17	0	92	0	0	0	134
"ABCF1_7"	"ABCF1"	1306	1123	1337	806	720	702	405	507	1493	1360	841	1788	636	654	1231
"ABCF1_8"	"ABCF1"	705	659	1195	373	623	416	450	412	729	309	378	788	26	575	1413
"ABHD10_2"	"ABHD10"	1251	1485	1472	765	797	664	585	530	1586	983	1300	2129	1192	1488	1159
"ABHD10_3"	"ABHD10"	285	209	124	90	119	39	136	38	0	53	52	49	457	452	268
"ABHD10_5"	"ABHD10"	1448	1389	1199	817	776	950	755	705	2863	1567	1420	1886	4112	1884	760
"ABHD10_7"	"ABHD10"	2416	3085	3867	3281	2464	1979	4321	3734	6464	2202	2400	4078	2665	2601	2270
"ABHD10_8"	"ABHD10"	826	776	696	568	715	533	422	497	398	378	402	496	1192	1050	785
"ABHD10_9"	"ABHD10"	1014	1067	1398	935	829	604	451	750	1111	1035	548	1461	1019	626	278
"ACAA2_12"	"ACAA2"	1055	1237	1505	813	752	499	498	708	2445	1120	1152	1403	325	841	367
"ACAA2_13"	"ACAA2"	2483	3005	2793	2114	1473	1523	1752	1939	4700	2247	910	2999	2039	4726	1340
"ACAA2_3"	"ACAA2"	2033	2533	3483	2630	1835	2237	2873	3200	2624	1587	970	1619	616	2116	3428
"ACAA2_7"	"ACAA2"	1161	1031	2370	1631	1092	1002	1998	2098	522	178	94	225	3647	2621	940
"ACAA2_8"	"ACAA2"	1177	1206	863	617	713	372	470	717	1260	548	711	849	3995	2886	1429
"ACAA2_9"	"ACAA2"	495	402	587	519	437	302	342	363	942	129	260	512	1368	579	485
"ACAD10_10"	"ACAD10"	687	749	265	213	172	174	228	125	774	369	414	751	2685	2549	547
"ACAD10_18"	"ACAD10"	1583	1697	2599	1401	848	1236	999	1150	1347	762	1015	1271	2985	1178	1182
"ACAD10_3"	"ACAD10"	830	736	573	532	395	366	487	413	1618	480	790	1582	813	845	214
"ACAD10_5"	"ACAD10"	1058	1223	2251	1893	1237	1325	1761	1681	2634	1399	805	1514	199	733	153
"ACAD10_6"	"ACAD10"	491	336	636	469	367	650	462	508	761	857	1256	1085	0	98	645
"ACAD10_7"	"ACAD10"	1541	1702	3447	2562	1653	1879	2605	3042	4751	1262	1804	2013	1045	1350	601
"ACAT2_10"	"ACAT2"	2877	3205	6310	4069	2536	3174	3667	3568	4687	2669	2037	3654	2286	2535	1754
"ACAT2_11"	"ACAT2"	757	696	382	198	176	249	122	138	1063	1047	844	760	96	1138	173
"ACAT2_3"	"ACAT2"	1934	2031	1392	761	611	561	311	439	5965	3247	2924	7270	2038	1906	433
"ACAT2_4"	"ACAT2"	1139	1073	691	463	480	355	395	433	1339	714	1292	2580	1403	1938	369
"ACAT2_5"	"ACAT2"	1377	1248	2129	1432	1044	969	1374	1665	2397	1521	2064	3209	260	561	922
