"sgRNA"	"Gene"	"mito_mock_1"	"mito_mock_2"	"mito_rcVSV_1"	"mito_rcVSV_2"	"mito_hku5_1"	"mito_hku5_2"	"mito_sars2_1"	"mito_sars2_2"	"mito_mers_1"	"mito_mers_2"	"mito_t1015n_1"	"mito_t1015n_2"	"mito_emcv_1"	"mito_emcv_2"	"mito_iav_1"	"mito_iav_2"
"AADAT_11"	"AADAT"	1014	1308	540	1869	1767	1905	1024	964	1236	875	2013	2003	308	81	700	124
"AADAT_14"	"AADAT"	1179	1408	628	1619	1614	1862	1111	1017	801	627	1006	729	1224	350	675	928
"AADAT_15"	"AADAT"	725	743	281	865	372	703	669	544	1243	185	799	1068	611	250	85	58
"AADAT_16"	"AADAT"	846	1159	296	1113	784	805	457	682	641	682	560	438	672	178	1354	184
"AADAT_3"	"AADAT"	570	648	163	563	400	497	717	589	504	439	402	418	1107	62	1709	59
"AADAT_5"	"AADAT"	651	836	174	508	642	443	522	639	422	750	544	637	899	166	314	36
"AARS2_1"	"AARS2"	717	1081	332	1519	988	974	1182	798	957	449	592	1037	239	155	662	3918
"AARS2_13"	"AARS2"	323	361	142	609	577	468	408	360	695	255	324	538	192	62	22	31
"AARS2_2"	"AARS2"	213	247	71	312	206	232	139	309	125	19	84	198	40	324	2	1
"AARS2_6"	"AARS2"	178	276	83	230	192	245	78	229	109	109	93	210	11	8	0	1
"AARS2_7"	"AARS2"	718	1249	550	1644	1246	1433	1244	1246	1043	441	469	335	970	710	745	96
"AARS2_9"	"AARS2"	404	488	201	710	852	704	453	307	312	267	237	60	2666	23	15	842
"AASS_10"	"AASS"	1262	1739	732	2517	1419	1849	1664	1826	1761	1406	1980	1894	1169	511	317	563
"AASS_11"	"AASS"	1459	1638	778	2273	1583	2199	1625	2430	2320	1071	1171	1159	1766	907	1402	1278
"AASS_4"	"AASS"	1093	1159	467	1694	1371	1953	1943	1223	1042	633	617	739	290	159	631	882
"AASS_5"	"AASS"	398	436	242	365	332	533	257	248	403	103	331	483	420	5	2298	501
