"Entry"	"Entry.name"	"Status"	"Protein.names"	"Gene.names"	"Organism"	"Length"
"O00299"	"CLIC1_HUMAN"	"reviewed"	"Chloride intracellular channel protein 1 (Chloride channel ABP) (Nuclear chloride ion channel 27) (NCC27) (Regulatory nuclear chloride ion channel protein) (hRNCC)"	"CLIC1 G6 NCC27"	"Homo sapiens (Human)"	"241"
"O14579"	"COPE_HUMAN"	"reviewed"	"Coatomer subunit epsilon (Epsilon-coat protein) (Epsilon-COP)"	"COPE"	"Homo sapiens (Human)"	"308"
"O14647"	"CHD2_HUMAN"	"reviewed"	"Chromodomain-helicase-DNA-binding protein 2 (CHD-2) (EC 3.6.4.12) (ATP-dependent helicase CHD2)"	"CHD2"	"Homo sapiens (Human)"	"1828"
"O14618"	"CCS_HUMAN"	"reviewed"	"Copper chaperone for superoxide dismutase (Superoxide dismutase copper chaperone)"	"CCS"	"Homo sapiens (Human)"	"274"
"A5YKK6"	"CNOT1_HUMAN"	"reviewed"	"CCR4-NOT transcription complex subunit 1 (CCR4-associated factor 1) (Negative regulator of transcription subunit 1 homolog) (NOT1H) (hNOT1)"	"CNOT1 CDC39 KIAA1007 NOT1 AD-005"	"Homo sapiens (Human)"	"2376"
"A7E2V4"	"ZSWM8_HUMAN"	"reviewed"	"Zinc finger SWIM domain-containing protein 8"	"ZSWIM8 KIAA0913"	"Homo sapiens (Human)"	"1837"
"O00204"	"ST2B1_HUMAN"	"reviewed"	"Sulfotransferase 2B1 (EC 2.8.2.2) (Alcohol sulfotransferase) (Hydroxysteroid sulfotransferase 2) (Sulfotransferase family 2B member 1) (Sulfotransferase family cytosolic 2B member 1) (ST2B1)"	"SULT2B1 HSST2"	"Homo sapiens (Human)"	"365"
"O00411"	"RPOM_HUMAN"	"reviewed"	"DNA-directed RNA polymerase, mitochondrial (MtRPOL) (EC 2.7.7.6)"	"POLRMT"	"Homo sapiens (Human)"	"1230"
"A0MZ66"	"SHOT1_HUMAN"	"reviewed"	"Shootin-1 (Shootin1)"	"SHTN1 KIAA1598"	"Homo sapiens (Human)"	"631"
"P62834"	"RAP1A_HUMAN"	"reviewed"	"Ras-related protein Rap-1A (EC 3.6.5.2) (C21KG) (G-22K) (GTP-binding protein smg p21A) (Ras-related protein Krev-1)"	"RAP1A KREV1"	"Homo sapiens (Human)"	"184"
"O00422"	"SAP18_HUMAN"	"reviewed"	"Histone deacetylase complex subunit SAP18 (18 kDa Sin3-associated polypeptide) (2HOR0202) (Cell growth-inhibiting gene 38 protein) (Sin3-associated polypeptide p18)"	"SAP18 GIG38"	"Homo sapiens (Human)"	"153"
"O00267"	"SPT5H_HUMAN"	"reviewed"	"Transcription elongation factor SPT5 (hSPT5) (DRB sensitivity-inducing factor 160 kDa subunit) (DSIF p160) (DRB sensitivity-inducing factor large subunit) (DSIF large subunit) (Tat-cotransactivator 1 protein) (Tat-CT1 protein)"	"SUPT5H SPT5 SPT5H"	"Homo sapiens (Human)"	"1087"
"A3KMH1"	"VWA8_HUMAN"	"reviewed"	"von Willebrand factor A domain-containing protein 8 (PEX7-binding protein 2) (P7BP2)"	"VWA8 KIAA0564"	"Homo sapiens (Human)"	"1905"
"O00148"	"DX39A_HUMAN"	"reviewed"	"ATP-dependent RNA helicase DDX39A (EC 3.6.4.13) (DEAD box protein 39) (Nuclear RNA helicase URH49)"	"DDX39A DDX39"	"Homo sapiens (Human)"	"427"
