Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides V-Day1-1	Peptides V-Day1-2	Peptides V-Day1-3	Peptides V-Day2-1	Peptides V-Day2-2	Peptides V-Day2-3	Peptides V-Mock1	Peptides V-Mock2	Peptides V-Mock3	Razor + unique peptides V-Day1-1	Razor + unique peptides V-Day1-2	Razor + unique peptides V-Day1-3	Razor + unique peptides V-Day2-1	Razor + unique peptides V-Day2-2	Razor + unique peptides V-Day2-3	Razor + unique peptides V-Mock1	Razor + unique peptides V-Mock2	Razor + unique peptides V-Mock3	Unique peptides V-Day1-1	Unique peptides V-Day1-2	Unique peptides V-Day1-3	Unique peptides V-Day2-1	Unique peptides V-Day2-2	Unique peptides V-Day2-3	Unique peptides V-Mock1	Unique peptides V-Mock2	Unique peptides V-Mock3	Sequence length	Sequence lengths	Intensity V-Day1-1	Intensity V-Day1-2	Intensity V-Day1-3	Intensity V-Day2-1	Intensity V-Day2-2	Intensity V-Day2-3	Intensity V-Mock1	Intensity V-Mock2	Intensity V-Mock3	LFQ intensity V-Day1-1	LFQ intensity V-Day1-2	LFQ intensity V-Day1-3	LFQ intensity V-Day2-1	LFQ intensity V-Day2-2	LFQ intensity V-Day2-3	LFQ intensity V-Mock1	LFQ intensity V-Mock2	LFQ intensity V-Mock3	Protein IDs	Majority protein IDs
#!{Type}C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T
			4	4	4	16	16	16	33.796	0	84.803	34435000	8	4	4	4	NaN	1	0	0	2	0	2	3	0	0	0	0	0	2	0	2	3	0	0	0	0	0	2	0	2	3	0	0	0	306	306	0	0	11402000	0	7190200	15843000	0	0	0	12.3302158886882	11.9978205006829	16.2992974684317	10.4352547212861	14.6635581042173	17.1044144738663	12.4469981107835	12.6673602343526	12.6713247450782	sp|SARSCOV2|SARS-3CLikeProteinase-YP009725301	sp|SARSCOV2|SARS-3CLikeProteinase-YP009725301
			8	8	8	20.8	20.8	20.8	66.854	0	87.728	10407000	12	8	8	8	NaN	1	0	1	2	5	8	1	0	0	0	0	1	2	5	8	1	0	0	0	0	1	2	5	8	1	0	0	0	601	601	0	23936	770630	1409100	7304500	898430	0	0	0	11.2597857100305	13.7865759431684	14.952968697571	15.7861675080207	16.7930952286118	15.2936871748263	11.788291549319	10.5211224946926	12.4843172091442	sp|SARSCOV2|SARS-helicase-YP009725308	sp|SARSCOV2|SARS-helicase-YP009725308
			2	2	2	20.6	20.6	20.6	19.775	0	24.545	3427200	3	2	2	2	NaN	1	0	0	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	180	180	0	0	2817800	609330	0	0	0	0	0	11.1583451988597	10.2077239885513	14.6484699370614	15.2846433906307	11.4715342766776	9.93570687770994	12.0838779389571	11.6599660657285	11.6872509427394	sp|SARSCOV2|SARS-leaderProtein-YP009725297	sp|SARSCOV2|SARS-leaderProtein-YP009725297
			13	13	13	49.5	49.5	49.5	25.146	0	323.31	7285000000	354	13	13	13	NaN	1	6	7	9	12	11	12	1	2	1	6	7	9	12	11	12	1	2	1	6	7	9	12	11	12	1	2	1	222	222	36490000	124420000	1087300000	553580000	3224900000	2257800000	162200	151280	136630	21.6403738131437	22.6917895157907	25.2704921001967	25.7922334640858	26.3362843959208	25.8163129989589	16.4835953766727	16.4127848325691	16.2718277408625	sp|SARSCOV2|SARS-MemGlycoProtein-YP009724393	sp|SARSCOV2|SARS-MemGlycoProtein-YP009724393
			6	6	6	12.5	12.5	12.5	70.511	0	41.684	8914900	12	6	6	6	NaN	1	0	2	3	3	5	1	0	0	0	0	2	3	3	5	1	0	0	0	0	2	3	3	5	1	0	0	0	638	638	0	33632	1164700	563680	6292600	860260	0	0	0	11.6444544989539	13.2339491583496	14.3851883385627	15.8370611895936	16.1035951680782	14.8531145834403	12.8206547865262	13.006239812142	12.7709270572056	sp|SARSCOV2|SARS-nsp2-YP009725298	sp|SARSCOV2|SARS-nsp2-YP009725298
			38	38	38	25.2	25.2	25.2	217.25	0	323.31	123080000	98	38	38	38	NaN	1	4	17	24	20	36	23	0	1	1	4	17	24	20	36	23	0	1	1	4	17	24	20	36	23	0	1	1	1945	1945	116570	3083500	19565000	6848900	68805000	24592000	0	20619	52823	16.6128109173169	18.2764425048199	20.3778247992137	19.6956429088447	21.2808772251228	20.6837176970189	13.5101645780494	15.4230173979272	15.488750221842	sp|SARSCOV2|SARS-nsp3-YP009725299	sp|SARSCOV2|SARS-nsp3-YP009725299
			6	6	6	15.2	15.2	15.2	56.183	0	83.994	18686000	22	6	6	6	NaN	1	0	2	6	6	6	5	0	0	0	0	2	6	6	6	5	0	0	0	0	2	6	6	6	5	0	0	0	500	500	0	66409	1158300	3174400	9408700	4878700	0	0	0	12.7435898269212	15.4570281144536	17.0952733861786	18.8429150134277	18.756491170446	18.3412147550383	12.6006949713667	11.843778786543	12.2055385406054	sp|SARSCOV2|SARS-nsp4-YP009725300	sp|SARSCOV2|SARS-nsp4-YP009725300
			2	2	2	15.2	15.2	15.2	21.881	0	21.43	1960500	2	2	2	2	NaN	1	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	1	1	1	1	0	1	0	0	0	198	198	46381	792810	0	157570	0	963750	0	0	0	12.8992813871739	13.8664096171982	9.99485338086155	12.8530950847947	11.9935819191353	13.3466522341057	11.75725015055	11.354851775806	11.8240830699455	sp|SARSCOV2|SARS-nsp8-YP009725304	sp|SARSCOV2|SARS-nsp8-YP009725304
			70	70	70	93.6	93.6	93.6	45.625	0	323.31	527270000000	4840	70	70	70	NaN	1	50	54	60	58	59	64	35	30	24	50	54	60	58	59	64	35	30	24	50	54	60	58	59	64	35	30	24	419	419	12429000000	23259000000	111390000000	45464000000	216580000000	118040000000	36996000	19349000	46527000	30.2756425070817	29.0574727568035	29.5215941500588	30.389052054637	29.9237988342901	30.0339380068339	24.7011816457026	23.005148904636	24.6860285429497	sp|SARSCOV2|SARS-NucleocapsidPhosPro-YP009724397	sp|SARSCOV2|SARS-NucleocapsidPhosPro-YP009724397
			1	1	1	23.1	23.1	23.1	13.744	0.0027907	10.771	1542600	1	1	1	1	NaN	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	121	121	0	0	0	0	0	1542600	0	0	0	10.5851420168139	10.6629365217529	10.9276934333311	9.81894345376982	8.92843537444442	13.8163837084747	12.0661635068111	12.5943844565355	12.5790771235944	sp|SARSCOV2|SARS-ORF7aYP009724395	sp|SARSCOV2|SARS-ORF7aYP009724395
			1	1	1	3.6	3.6	3.6	31.123	0.0026596	7.5839	4350300	2	1	1	1	NaN	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	0	0	0	275	275	0	0	95311	326890	3928100	0	0	0	0	11.6505642620354	10.2496249768665	14.577546844727	13.8286323749771	14.8447547948132	10.3041576928899	12.9963404202024	12.6944101217883	11.7027819145753	sp|SARSCOV2|SARS-ORRF3a-YP009724391	sp|SARSCOV2|SARS-ORRF3a-YP009724391
			3	3	3	4.2	4.2	4.2	106.66	0	21.797	3936900	5	3	3	3	NaN	1	0	0	1	1	3	1	0	0	0	0	0	1	1	3	1	0	0	0	0	0	1	1	3	1	0	0	0	932	932	0	0	303520	210110	2298600	1124700	0	0	0	11.6462418430419	9.74545788078586	15.9733386208004	15.9308759094529	15.1473241904357	15.0379329708024	11.7364387677044	12.6016967049678	12.5197842483057	sp|SARSCOV2|SARS-RdRp-YP009725307	sp|SARSCOV2|SARS-RdRp-YP009725307
			28	28	28	28.4	28.4	28.4	141.18	0	323.31	183980000	81	28	28	28	NaN	1	4	10	9	18	28	12	1	0	0	4	10	9	18	28	12	1	0	0	4	10	9	18	28	12	1	0	0	1273	1273	169620	1586600	2061100	13910000	130500000	35736000	15996	0	0	18.1195896207411	17.652984979314	16.7081947816575	19.5996332173984	20.2084820525701	19.5839311535022	13.1119181135555	10.9962701705125	12.2886244984646	sp|SARSCOV2|SARS-SurfaceGlycoProtein-YP009724390	sp|SARSCOV2|SARS-SurfaceGlycoProtein-YP009724390
			9	9	9	39.4	39.4	39.4	31.249	0	124.05	112210000	27	9	9	9	NaN	1	0	6	9	5	7	4	0	0	0	0	6	9	5	7	4	0	0	0	0	6	9	5	7	4	0	0	0	282	282	0	18183000	50725000	3158600	23111000	17037000	0	0	0	12.1463386812187	18.5737433284599	18.0173195287389	17.4469378900999	17.4288181399796	17.1663396418942	12.4385930772416	12.8190748784173	12.2183244611838	tr|A0A0D9QUH9|A0A0D9QUH9_CHLSB	tr|A0A0D9QUH9|A0A0D9QUH9_CHLSB
			7	7	7	17.1	17.1	17.1	56.874	0	56.341	22333000	13	NaN	NaN	NaN	NaN	2	1	2	4	2	5	3	0	0	0	1	2	4	2	5	3	0	0	0	1	2	4	2	5	3	0	0	0	496	NaN	186120	472000	4537200	1199500	11899000	4039300	0	0	0	15.7668653187767	14.4594956573013	14.7495552174335	15.5376127577124	15.4144870497995	15.2757244091671	12.793074174141	12.249538037709	12.3586887641887	tr|A0A0D9QUI8|A0A0D9QUI8_CHLSB;tr|A0A0D9RKC4|A0A0D9RKC4_CHLSB	tr|A0A0D9QUI8|A0A0D9QUI8_CHLSB
			2	2	2	4.8	4.8	4.8	71.729	0	15.526	1734800	2	2	2	2	NaN	1	0	0	0	1	2	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	1	2	1	0	0	0	660	660	0	0	0	64289	957710	712790	0	0	0	11.4415831569705	8.68275284402974	10.606861733746	11.9403870148728	12.1344904956192	12.682094812637	13.0024558053973	13.3314327876316	11.0634235321938	tr|A0A0D9QUJ2|A0A0D9QUJ2_CHLSB	tr|A0A0D9QUJ2|A0A0D9QUJ2_CHLSB
