"Entry"	"Entry.name"	"Status"	"Protein.names"	"Gene.names"	"Organism"	"Length"
"A0A0D9QVT7"	"A0A0D9QVT7_CHLSB"	"unreviewed"	"S-(hydroxymethyl)glutathione dehydrogenase (EC 1.1.1.284)"	"ADH5"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"372"
"A0A0D9QV09"	"A0A0D9QV09_CHLSB"	"unreviewed"	"Ribosomal protein S16"	"RPS16"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"146"
"A0A0D9QV93"	"A0A0D9QV93_CHLSB"	"unreviewed"	"40S ribosomal protein S3 (EC 4.2.99.18)"	"RPS3"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"243"
"A0A0D9QVV3"	"A0A0D9QVV3_CHLSB"	"unreviewed"	"Helicase with zinc finger"	"HELZ"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1943"
"A0A0D9QVD3"	"A0A0D9QVD3_CHLSB"	"unreviewed"	"Enhancer of mRNA-decapping protein 4"	"EDC4"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"1401"
"A0A0D9QUH9"	"A0A0D9QUH9_CHLSB"	"unreviewed"	"U1 small nuclear ribonucleoprotein A"	"SNRPA"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"282"
"A0A0D9QUW2"	"A0A0D9QUW2_CHLSB"	"unreviewed"	"Fibrillarin"	"FBL"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"318"
"A0A0D9QVJ0"	"A0A0D9QVJ0_CHLSB"	"unreviewed"	"Actinin alpha 4"	"ACTN4"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"911"
"A0A0D9QUU5"	"A0A0D9QUU5_CHLSB"	"unreviewed"	"Vesicle-fusing ATPase (EC 3.6.4.6)"	"NSF"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"769"
"A0A0D9QUX4"	"A0A0D9QUX4_CHLSB"	"unreviewed"	"Calcium/calmodulin-dependent protein kinase (EC 2.7.11.17)"	""	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"489"
"A0A0D9QVQ1"	"A0A0D9QVQ1_CHLSB"	"unreviewed"	"Ras-related protein Rab-21"	"RAB21"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"223"
"A0A0D9QUJ7"	"A0A0D9QUJ7_CHLSB"	"unreviewed"	"Lysine--tRNA ligase (EC 6.1.1.6) (Lysyl-tRNA synthetase)"	"KARS1"	"Chlorocebus sabaeus (Green monkey) (Cercopithecus sabaeus)"	"625"
