Only identified by site	Reverse	Potential contaminant	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides CoV-D1-1	Peptides CoV-D1-2	Peptides CoV-D1-3	Peptides CoV-D2-1	Peptides CoV-D2-2	Peptides CoV-D2-3	Peptides DV1	Peptides DV2	Peptides DV3	Peptides FlaviC1	Peptides FlaviC2	Peptides FlaviC3	Peptides Mock1	Peptides Mock2	Peptides Mock3	Peptides RV	Peptides RV_C	Peptides ZV1	Peptides ZV2	Peptides ZV3	Razor + unique peptides CoV-D1-1	Razor + unique peptides CoV-D1-2	Razor + unique peptides CoV-D1-3	Razor + unique peptides CoV-D2-1	Razor + unique peptides CoV-D2-2	Razor + unique peptides CoV-D2-3	Razor + unique peptides DV1	Razor + unique peptides DV2	Razor + unique peptides DV3	Razor + unique peptides FlaviC1	Razor + unique peptides FlaviC2	Razor + unique peptides FlaviC3	Razor + unique peptides Mock1	Razor + unique peptides Mock2	Razor + unique peptides Mock3	Razor + unique peptides RV	Razor + unique peptides RV_C	Razor + unique peptides ZV1	Razor + unique peptides ZV2	Razor + unique peptides ZV3	Unique peptides CoV-D1-1	Unique peptides CoV-D1-2	Unique peptides CoV-D1-3	Unique peptides CoV-D2-1	Unique peptides CoV-D2-2	Unique peptides CoV-D2-3	Unique peptides DV1	Unique peptides DV2	Unique peptides DV3	Unique peptides FlaviC1	Unique peptides FlaviC2	Unique peptides FlaviC3	Unique peptides Mock1	Unique peptides Mock2	Unique peptides Mock3	Unique peptides RV	Unique peptides RV_C	Unique peptides ZV1	Unique peptides ZV2	Unique peptides ZV3	Sequence length	Sequence lengths	Intensity CoV-D1-1	Intensity CoV-D1-2	Intensity CoV-D1-3	Intensity CoV-D2-1	Intensity CoV-D2-2	Intensity CoV-D2-3	Intensity DV1	Intensity DV2	Intensity DV3	Intensity FlaviC1	Intensity FlaviC2	Intensity FlaviC3	Intensity Mock1	Intensity Mock2	Intensity Mock3	Intensity RV	Intensity RV_C	Intensity ZV1	Intensity ZV2	Intensity ZV3	LFQ intensity CoV-D1-1	LFQ intensity CoV-D1-2	LFQ intensity CoV-D1-3	LFQ intensity CoV-D2-1	LFQ intensity CoV-D2-2	LFQ intensity CoV-D2-3	LFQ intensity DV1	LFQ intensity DV2	LFQ intensity DV3	LFQ intensity FlaviC1	LFQ intensity FlaviC2	LFQ intensity FlaviC3	LFQ intensity Mock1	LFQ intensity Mock2	LFQ intensity Mock3	LFQ intensity RV	LFQ intensity RV_C	LFQ intensity ZV1	LFQ intensity ZV2	LFQ intensity ZV3	Protein IDs	Majority protein IDs
#!{Type}C	C	C	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	T	T
			1	1	1	9.5	9.5	9.5	12.769	0.0027218	2.9275	11253000	7	NaN	NaN	NaN	NaN	11	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	0	1	0	0	0	0	116	NaN	1711500	1545100	926550	1040600	1681500	1081400	0	0	0	0	0	0	733920	2414100	0	118600	0	0	0	0	22.1864951315665	22.4519656726199	19.9499178792031	19.0368979984856	20.0299881270897	18.1894964257875	15.4326197492414	16.2658324481149	13.9439014853023	13.5317462071079	14.3957224721354	13.6983366751245	21.7435327446344	21.9273425026897	13.0542650615696	17.9191077332451	13.5252458403272	15.3683968224531	16.0072499378624	15.476970164739	sp|P01767|HV353_HUMAN;sp|A0A0C4DH42|HV366_HUMAN;tr|A0A0J9YY99|A0A0J9YY99_HUMAN;tr|A0A075B7E8|A0A075B7E8_HUMAN;tr|A0A075B7B8|A0A075B7B8_HUMAN;sp|P0DP03|HVC05_HUMAN;sp|P0DP02|HVC33_HUMAN;sp|P01772|HV333_HUMAN;sp|P01768|HV330_HUMAN;sp|P01764|HV323_HUMAN;sp|A0A0B4J1X5|HV374_HUMAN	sp|P01767|HV353_HUMAN;sp|A0A0C4DH42|HV366_HUMAN;tr|A0A0J9YY99|A0A0J9YY99_HUMAN;tr|A0A075B7E8|A0A075B7E8_HUMAN;tr|A0A075B7B8|A0A075B7B8_HUMAN;sp|P0DP03|HVC05_HUMAN;sp|P0DP02|HVC33_HUMAN;sp|P01772|HV333_HUMAN;sp|P01768|HV330_HUMAN;sp|P01764|HV323_HUMAN;sp|A0A0B4J1X5|HV374_HUMAN
			7	7	7	34.7	34.7	34.7	28.17	0	60.547	5160500	73	NaN	NaN	NaN	NaN	2	0	0	1	2	0	0	1	1	2	6	7	7	0	0	0	1	0	5	5	5	0	0	1	2	0	0	1	1	2	6	7	7	0	0	0	1	0	5	5	5	0	0	1	2	0	0	1	1	2	6	7	7	0	0	0	1	0	5	5	5	268	NaN	0	0	724920	532180	0	0	44522	0	143740	556570	967380	614410	0	0	0	128270	0	592290	405640	450550	15.5932444581319	15.3777388897888	18.6510937467413	17.4401392024305	13.8656934667364	14.9868207672503	15.7518839812564	12.9845776827642	17.5922964303947	20.9802930120603	21.5846285864287	21.0558967043264	14.7510787736223	14.5411193989446	13.8602992263386	14.6324840764114	14.7734694404157	20.4231651637346	20.9961065673061	20.7764362453987	sp|P0DPI2|GAL3A_HUMAN;sp|A0A0B4J2D5|GAL3B_HUMAN	sp|P0DPI2|GAL3A_HUMAN;sp|A0A0B4J2D5|GAL3B_HUMAN
			15	14	14	37.3	35.4	35.4	64.098	0	323.31	42729000	153	NaN	NaN	NaN	NaN	2	0	0	5	5	4	3	11	11	11	0	0	0	0	0	0	8	0	7	6	8	0	0	4	4	3	2	10	10	10	0	0	0	0	0	0	8	0	6	5	7	0	0	4	4	3	2	10	10	10	0	0	0	0	0	0	8	0	6	5	7	593	NaN	0	0	831090	1160100	2015800	1167800	2188100	2137900	2678200	0	0	0	0	0	0	28993000	0	658660	274720	623130	14.5195577413119	14.8011251789699	19.5706710462917	19.0119806466545	20.3987436919382	19.3743050982118	20.9442802538346	21.0640796091234	21.3137931248034	13.9222551932177	14.9001182008616	14.4951683326012	14.8726771734686	15.6279919009195	13.4261048381226	21.8513662748963	16.0755228695879	20.8382283152577	20.7099453802325	20.9001386036792	sp|A0AV96|RBM47_HUMAN;sp|Q8TBY0|RBM46_HUMAN	sp|A0AV96|RBM47_HUMAN
			1	1	1	2.1	2.1	2.1	71.639	0.0067603	2.4628	314920	1	1	1	1	NaN	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	631	631	0	0	0	0	0	314920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.4178086206657	16.0986330975721	14.8866707885739	14.2168017853671	16.5006305072736	15.4404150104652	14.7386498147163	15.2295157841432	13.6679277991713	13.82069304447	13.8997330617918	14.0282604154834	16.2161873669474	14.8996030648772	14.120672153403	14.7881085812667	13.5724675052614	15.1219833434945	14.9070069726545	14.4543723869487	sp|A0MZ66|SHOT1_HUMAN	sp|A0MZ66|SHOT1_HUMAN
			6	6	5	18.8	18.8	17.1	54.173	0	30.681	894200	18	6	6	5	NaN	1	0	0	0	0	1	0	3	2	2	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	1	0	3	2	2	0	0	0	0	0	0	0	0	2	0	4	0	0	0	0	0	0	3	2	2	0	0	0	0	0	0	0	0	2	0	4	520	520	0	0	0	0	0	0	225220	145790	343590	0	0	0	0	0	0	0	0	46254	0	133340	14.9053967967468	15.014704613211	14.6013899277382	14.9754338834821	14.7046355018574	15.4729840452039	18.0095771558181	18.2244445322947	18.6004864480802	13.8904504624621	14.4172547496679	14.2585087577156	13.2502351412337	14.8753745998825	14.2379865823191	14.5958365588975	14.460105120075	18.4136114024559	15.6534115270849	18.5120228249927	sp|A1L020|MEX3A_HUMAN	sp|A1L020|MEX3A_HUMAN
			35	35	35	22.3	22.3	22.3	214.82	0	181.21	3558400	132	35	35	35	NaN	1	0	0	1	1	0	1	0	1	2	32	30	34	0	1	1	0	0	11	21	12	0	0	1	1	0	1	0	1	2	32	30	34	0	1	1	0	0	11	21	12	0	0	1	1	0	1	0	1	2	32	30	34	0	1	1	0	0	11	21	12	1905	1905	0	0	139540	25360	0	24609	0	15197	16237	553510	717030	1196400	0	21686	24603	0	0	182140	421080	220970	16.0078759917056	15.7280706370735	17.9296629538871	14.4857664283636	13.6623023770795	15.6503225332398	14.4666177607711	16.726670527447	16.557134582162	22.5724439592898	22.7248402238223	21.7519722171866	14.5736880115354	16.2542905051171	16.1574653654055	13.775081746644	16.6684622810408	18.9340478732039	19.5510097526991	19.0901641208251	sp|A3KMH1|VWA8_HUMAN	sp|A3KMH1|VWA8_HUMAN
			20	20	20	10.6	10.6	10.6	266.94	0	99.022	15831000	89	20	20	20	NaN	1	0	0	2	1	1	2	15	11	14	0	0	0	0	0	0	1	0	12	9	11	0	0	2	1	1	2	15	11	14	0	0	0	0	0	0	1	0	12	9	11	0	0	2	1	1	2	15	11	14	0	0	0	0	0	0	1	0	12	9	11	2376	2376	0	0	2370100	3115700	23363	8430500	642750	215830	366350	0	0	0	0	0	0	0	0	264740	184590	217250	13.8428615994846	14.6290561479013	18.5212937117453	19.2050725235474	16.7046871989439	20.0810880908142	20.3587456240063	20.3025139819008	20.2271740579122	13.9673659994586	14.4691349815028	14.5737683924215	14.7338063495294	15.7553576685087	13.918257815534	15.9071893757874	14.8785177255532	19.548867052165	20.8145636911228	20.6704660807495	sp|A5YKK6|CNOT1_HUMAN	sp|A5YKK6|CNOT1_HUMAN
			2	2	2	7.5	7.5	7.5	34.006	0.0027563	3.0614	0	3	2	2	2	NaN	1	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	321	321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14.9115251473803	15.3329992543066	15.5429940613695	15.3867295741105	14.0913430150134	15.1297213609304	15.0863510599171	14.7998988804077	14.9672169318998	13.9709867134642	13.989757103736	14.7141294333721	16.0711090191753	14.9133892751644	12.3579683818502	14.5147304849267	14.907214235758	14.0662762352119	14.0320900734085	15.8316804474542	sp|A6NDG6|PGP_HUMAN	sp|A6NDG6|PGP_HUMAN
			6	1	1	11.7	3.8	3.8	49.908	0.0011554	3.7334	65103	1	6	1	1	NaN	1	1	3	3	3	3	4	4	3	4	3	3	3	0	1	1	4	3	3	3	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	446	446	0	0	0	0	0	0	0	0	65103	0	0	0	0	0	0	0	0	0	0	0	14.907189578419	15.6889301817448	14.0417513489187	14.9924051067974	15.2988706909054	13.8795349201432	15.9810890061514	15.4931191915605	16.974324956365	14.4580905214899	14.0770273718952	13.3910489007314	14.4966523057596	14.10142765099	14.1099687912109	15.5685981585172	15.1811348856352	15.627011626845	15.4224342588812	13.8380531170836	sp|A6NHL2|TBAL3_HUMAN	sp|A6NHL2|TBAL3_HUMAN
